shortnam,africa,lat_abst,rich4,avexpr,logpgp95,logem4,asia,loghjypl,baseco,catho80,muslim80,no_cpm80,f_brit,f_french,sjlofr,avelf,temp1,temp2,temp3,temp4,temp5,humid1,humid2,humid3,humid4,steplow,deslow,stepmid,desmid,drystep,drywint,edes1975,landlock,goldm,iron,silv,zinc,oilres,malfal94,yellow,leb95,imr95,meantemp,lt100km,latabs,euro1900,democ1,cons1,indtime,democ00a,cons00a,other,extmort4,mi_lat_abst,mi_avexpr,mi_logpgp95,mi_logem4,mi_loghjypl,mi_baseco,mi_catho80,mi_muslim80,mi_no_cpm80,mi_f_brit,mi_f_french,mi_sjlofr,mi_avelf,mi_temp1,mi_humid1,mi_steplow,mi_edes1975,mi_goldm,mi_oilres,mi_malfal94,mi_leb95,mi_imr95,mi_meantemp,mi_lt100km,mi_latabs,mi_euro1900,mi_democ1,mi_cons1,mi_indtime,mi_democ00a,mi_cons00a,mi_extmort4
AFG,0,.36666667,0,0,0,4.5400982,1,0,0,0,99.300003,.69999695,1,0,1,.44844118,10,14,40,-21,11,51,80,22,70,1,1,0,0,0,0,0,1,0,0,0,0,0,.0037200002,0,0,0,0,0,0,0,1,1,195,1,1,0,93.699997,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0
AGO,1,.13666667,0,5.3636365,7.7706451,5.6347895,0,-3.4112477,1,68.699997,0,11.500004,0,0,1,.77275497,26,28,37,14,21,77,84,74,78,1,1,0,0,0,0,0,0,0,0,0,0,146000,.94999999,1,46.490002,125,22.94133,.118758,.136667,8,0,3,20,0,1,0,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARE,0,.26666668,0,7.181818,9.8042192,0,1,0,0,.40000001,94.900002,4.3999987,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1
ARG,0,.37777779,0,6.3863635,9.1334591,4.232656,0,-.8722738,1,91.599998,.2,5.5000014,0,0,1,.17693181,17,25,40,-6,6,81,92,60,79,1,0,0,1,0,0,90,0,0,0,0,0,46900,0,0,72.889999,21.799999,17.1,.123089,.37777799,60.000004,1,1,170,3,3,0,68.900002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARM,0,.44444445,0,0,7.6824822,0,1,0,0,0,0,100,0,0,0,0,8,12,40,-27,10,62,91,36,75,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1
AUS,0,.30000001,1,9.318182,9.8979721,2.1459312,0,-.17078833,1,29.6,.2,46.700001,1,0,0,.11279711,17,18,43,-10,3,56,85,35,64,1,1,0,0,0,0,99,0,3,16,9,12,99100,0,1,78.25,5.5999999,20.9,.19895799,.30000001,98,10,7,94,10,7,1,8.5500002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUT,0,.52444446,0,9.727273,9.9748774,0,0,-.34389976,0,88.800003,.60000002,4.099997,0,0,0,.033212252,8,13,38,-23,9,72,86,49,76,0,0,0,0,0,0,100,1,0,0,0,0,11900,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1
AZE,0,.44777778,0,0,7.3065314,0,1,0,0,0,93.400002,6.5999985,0,0,0,0,14,12,40,-27,10,62,91,36,75,0,0,1,0,0,0,0,1,0,0,0,0,177000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1
BDI,1,.036666665,0,0,6.5652652,5.6347895,0,-3.5065579,0,78.300003,.89999998,15.899997,0,0,1,.013333334,24,28,31,17,20,55,82,55,82,0,0,0,0,0,0,0,0,0,0,0,0,0,.94999999,1,0,0,0,0,0,0,3,5,34,0,1,0,280,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0
BEL,0,.56111109,0,9.681818,9.9928713,0,0,-.17912664,0,90,1.1,8.5,0,0,1,.36383441,10,13,37,-17,6,87,94,65,86,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1
